title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
get smart's bruce and lloyd out of control,2008,"Action,Comedy",6.349,5.124,121.0,Get Smart's Bruce and Lloyd Out of Control,"Bumbling R&D inventors Bruce and Lloyd get out of the lab and into the field as they search to locate their latest invention - which has somehow gone missing. When you're used to spending your day inventing the most cutting edge spy equipment known to man, adapting the stealth and guile needed to become a true secret agent doesn't come naturally. Unfortunately the invisibility cloak that the pair recently collaborated on has disappeared, and in order to ensure that it doesn't fall into the hands of KAOS they will have to master the skills of a true spy. But how exactly does one find an object that's invisible to begin with? As the search gets underway, these brainy inventors are given an eye-opening crash course in high-level espionage.",2008-07-01,en
how do we get out of this?,2023,Comedy,1.716,0.0,0.0,Wie kommen wir da wieder raus?,"Christmas – usually not the favourite holiday of the atheist Wanda, a surgeon and feminist mother of teenage Nina. And most certainly not in times of a pandemic.",2023-11-30,de
get outta here,2015,"Comedy,Horror",3.238,4.7,3.0,死開啲啦,"In a construction site under the full moon, construction workers dig too deep and inadvertently wake up Joe (Alex Lam), a vampire that has been lying underground for a century. Dazzled by the vibrancy of a modern city at night, Joe wanders around and runs into Apple (J. Arie), a jilted girl planning to kill herself. Eager for a taste of blood, Joe follows her home and helps her and her grandmother get rid of thugs sent by a real estate developer who wish to buy them off. What started as a battle for property turns out to be a battle among vampires.",2015-10-08,cn
get out,2019,Comedy,0.041,0.0,0.0,逃离今日计划,,2019-04-09,zh
tribal: get out alive,2020,"Action,Horror,Thriller",2.928,3.6,23.0,Tribal: Get Out Alive,"After retiring from active duty, former elite military operative Caitlin Ross now runs a private security firm. She, however, becomes the target when her private security firm accepts a contract from a young millionaire.",2020-07-07,en
get out of my room,1985,"Comedy,Music",4.458,5.5,26.0,Get Out of My Room,"Get Out of My Room, was a mockumentary in the style of This Is Spinal Tap, written and directed by Cheech Marin. In the film, he and Tommy Chong are shown attempting to finish a ""video album"" for their novelty record Get Out of My Room.",1985-10-01,en
then i'll just get out...,1977,Drama,0.075,6.5,2.0,Dann steig' ich eben aus...,"Rowing rider Klas Miggelsen is upset because his coach Breiting puts him in a boat together with amateur Heiner , How should he ever celebrate sporting successes with the beginner?",1977-04-30,de
split,2017,"Horror,Thriller",59.715,7.345,17359.0,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",2017-01-19,en
split,2016,"Fantasy,Drama,Thriller,Crime",4.938,5.824,34.0,Split,"The story of a young woman who takes an epic journey to claim her own darkness and sexuality so she can stop putting it into the hands of her abusive lover.  When Inanna, a young actress, working as a stripper, becomes obsessed with a mask maker, she sacrifices parts of herself and her life, piece by piece, in order to win his love.  At the same time she enters a mythic journey in the theater.  One that forces her to face the many abuses endured by women around that world and that blurs her performance, her dreams and her real life and results in a provocative and powerful confrontation that frees her. -- from official website",2016-04-07,en
split,2016,"Comedy,Romance",1.43,4.8,21.0,Split,"As her 30th birthday looms, an over-achieving woman with a thing for bowlers decides to marry the man of her dreams in just under a month.",2016-08-02,en
split,1989,"Science Fiction,Drama",0.797,4.6,7.0,Split,Sci-fi story about a man (Timothy Dwight) on the run from a Big Brother-like security force.,1989-03-24,en
split,1974,"Drama,Science Fiction",0.571,5.0,3.0,Split,"When his father runs off and his mother hooks up with a mustachioed new beau, eleven-year-old Mark becomes convinced that an uninvited talkative space alien, going by the name ""Split,"" has taken up telepathic residence in his mind, and is leading him to question the norms of planet Earth. Only one teacher is willing to entertain the possibility that Mark just might be telling the truth.",1974-01-01,en
split,2018,"Action,Comedy,Documentary",0.53,10.0,1.0,Split,"In the vein of ""The Office"" or ""Man Bites Dog"". ""Split's"" mockumentary style sees a film crew follow two Hitmen throughout two days of their lives, as they go through a list of targets and a day to day routine. This is ""The Office"" meets ""The Sopranos"", this is S.P.L.I.T.",2018-10-12,en
hidden figures,2016,"Drama,History",56.403,8.057,9737.0,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",2016-12-10,en
aquaman,2018,"Action,Adventure,Fantasy",52.67,6.886,14059.0,Aquaman,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",2018-12-07,en
aquaman,2006,"Action,Adventure,TV Movie",10.014,6.0,32.0,Aquaman,A young twenty-something diver living in the Florida Keys discovers he has the power to breathe underwater.,2006-07-24,en
aquaman and the lost kingdom,2023,"Action,Adventure,Fantasy",113.886,6.7,2845.0,Aquaman and the Lost Kingdom,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",2023-12-20,en
aquaman: heroines of atlantis,2019,Documentary,12.672,6.2,51.0,Aquaman: Heroines of Atlantis,Amber Heard and Nicole Kidman discuss their characters Mera and Atlanna.,2019-03-26,en
lego dc comics super heroes: aquaman - rage of atlantis,2018,"Animation,Family,Action,Comedy",9.872,6.3,101.0,LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,"Aquaman must battle foes in the air, on land and in the depths of the Seven Seas, along with some help from The Justice League, to save the day.",2018-12-21,en
aquamania,1961,Animation,4.179,6.463,40.0,Aquamania,"Mr. X buys a boat and inadvertantly enters the water skiing race. With Junior driving, with no experience, he's a bit out of his league.",1961-12-20,en
aquaman: the cast of the angler,1984,"Fantasy,Science Fiction",0.397,6.0,1.0,Aquaman: The Cast of the Angler,The Angler claims he will use a toxin which will kill sea life unless a ransom is paid. Aquaman races to stop him.,1984-01-01,en
spider-man: into the spider-verse,2018,"Animation,Action,Adventure,Science Fiction",104.948,8.399,15708.0,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,en
spider-man: across the spider-verse,2023,"Animation,Action,Adventure,Science Fiction",202.229,8.4,7088.0,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,en
spider-man & the spider-verse revolution,2023,"Animation,Documentary",1.254,0.0,0.0,Spider-Man & The Spider-Verse Revolution,"Celebrate the films that redefined animation, influenced culture and brought Spider-Man into all new dimensions.",2023-11-03,en
ralph breaks the internet,2018,"Family,Animation,Comedy,Adventure",43.465,7.179,7565.0,Ralph Breaks the Internet,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",2018-11-20,en
fantastic beasts: the crimes of grindelwald,2018,"Fantasy,Adventure",38.516,6.9,10817.0,Fantastic Beasts: The Crimes of Grindelwald,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",2018-11-14,en
the grinch,2018,"Animation,Family,Comedy,Fantasy",497.283,6.9,4017.0,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,2018-11-08,en
